position,now_cost,points_last_3gw,points_last_5gw,minutes_last_3gw,minutes_percentage_last_3,goals_last_3gw,assists_last_3gw,xg_last_3gw,xa_last_3gw,xgi_last_3gw,clean_sheets_last_3gw,bonus_last_3gw,ict_last_3gw,goals_per_90,points_std_last_5gw,points_trend,next_was_home,next_fixture_difficulty,next_opp_def_strength,strength_attack_home_player_team,strength_attack_away_player_team,transfers_balance,target_points,player_id,player_name,gameweek
MID,69,3.6666666666666665,2.4,30.333333333333332,33.7037037037037,0.3333333333333333,0.0,0.05333333333333334,0.0,0.05333333333333334,1.0,0.3333333333333333,2.1333333333333333,0.9890109890109889,2.792848008753788,1.9999999999999984,True,1100.0,1100.0,1350,1350,13052,1.0,19,Martinelli,6
MID,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,-6276,0.0,20,Trossard,2
MID,69,0.5,0.5,18.5,20.555555555555554,0.0,0.0,0.035,0.015,0.05,0.0,0.0,1.55,0.0,0.7071067811865476,0.0,True,1180.0,1180.0,1350,1350,-4281,4.0,20,Trossard,3
MID,69,0.3333333333333333,0.3333333333333333,12.333333333333334,13.703703703703704,0.0,0.0,0.023333333333333334,0.01,0.03333333333333333,0.0,0.0,1.0333333333333334,0.0,0.5773502691896258,1.7346906304869078e-16,True,1300.0,1300.0,1350,1350,-3952,2.0,20,Trossard,4
MID,69,1.6666666666666667,1.25,16.0,17.77777777777778,0.0,0.3333333333333333,0.023333333333333334,0.09666666666666668,0.12,0.0,0.0,2.1,0.0,1.892969448600091,1.4999999999999991,False,1320.0,1240.0,1350,1350,-407,2.0,20,Trossard,5
MID,69,2.0,1.4,31.333333333333332,34.81481481481482,0.0,0.3333333333333333,0.04666666666666667,0.11,0.15666666666666665,0.0,0.0,2.033333333333333,0.0,1.673320053068151,1.0000000000000004,True,1100.0,1100.0,1350,1350,361,3.0,20,Trossard,6
MID,65,6.0,6.0,82.0,91.11111111111111,0.0,1.0,0.13,0.01,0.14,1.0,0.0,1.2,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,22586,4.0,21,Rice,2
MID,65,6.0,6.0,86.0,95.55555555555556,0.0,1.0,0.065,0.275,0.34,2.0,0.0,4.45,0.0,0.0,0.0,True,1180.0,1180.0,1350,1350,16588,1.0,21,Rice,3
MID,65,5.333333333333333,5.333333333333333,87.33333333333333,97.03703703703704,0.0,0.6666666666666666,0.049999999999999996,0.21666666666666667,0.26666666666666666,2.0,0.0,4.266666666666667,0.0,1.1547005383792515,-1.0,True,1300.0,1300.0,1350,1350,49222,3.0,21,Rice,4
MID,65,3.6666666666666665,4.25,67.33333333333333,74.81481481481481,0.0,0.3333333333333333,0.006666666666666667,0.22333333333333336,0.23,1.0,0.0,4.1000000000000005,0.0,2.362907813126304,-2.5000000000000004,False,1320.0,1240.0,1350,1350,-86541,9.0,21,Rice,5
MID,65,2.6666666666666665,4.0,67.33333333333333,74.81481481481481,0.0,0.0,0.006666666666666667,0.09666666666666668,0.10333333333333333,0.0,0.3333333333333333,3.4,0.0,2.1213203435596424,-0.5000000000000006,True,1100.0,1100.0,1350,1350,-69243,11.0,21,Rice,6
MID,59,1.0,1.0,7.0,7.777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,-12605,3.0,22,Merino,2
MID,59,0.5,0.5,3.5,3.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.7071067811865476,0.0,True,1180.0,1180.0,1350,1350,-16276,3.0,22,Merino,3
